X,Data Status,Date,Partner,Offer,Leads,Exclusive Auto Converted,Exclusive Auto Pct Gross,Agent Conversion Eligible,Agent Converted,Agent Conversion Pct,Avg Rev Per Agent Conv,Avg Cost,Avg Scrub Cost,Sum Cost,Sum Scrub Cost,Average Auto Revenue,Sum Auto Revenue,Avg Agent Revenue,Sum of Agent Revenue,Avg Revenue,Sum Revenue,Avg Income,Sum Income,
Feb'22,Regular,2/1/22,Partner_05,Offer_14,4,0,0,4,0,0,0,4,3.2,16,12.8,0,0,0,0,0,0,-3.2,-12.8,
Feb'22,Regular,2/1/22,Partner_05,Offer_07,1,0,0,1,0,0,0,2,1.6,2,1.6,0,0,0,0,0,0,-1.6,-1.6,
Feb'22,Regular,2/1/22,Partner_05,Offer_09,11,0,0,11,1,9.09,105,2.82,2.26,31.05,24.85,0,0,9.55,105,9.55,105,7.29,80.15,
Feb'22,Regular,2/1/22,Partner_06,Offer_01,14,0,0,14,0,0,0,3.14,2.67,44.01,37.41,0,0,0,0,0,0,-2.67,-37.41,
Feb'22,Regular,2/1/22,Partner_06,Offer_03,31,0,0,31,4,12.9,21.25,3.58,3.05,111.13,94.48,0,0,2.74,85,2.74,85,-0.31,-9.48,
Feb'22,Regular,2/1/22,Partner_06,Offer_04,7,0,0,7,4,57.14,33.25,10,8.5,70,59.5,0,0,19,133,19,133,10.5,73.5,
Feb'22,Regular,2/1/22,Partner_06,Offer_14,2,0,0,2,0,0,0,5,4.25,10,8.5,0,0,0,0,0,0,-4.25,-8.5,
Feb'22,Regular,2/1/22,Partner_06,Offer_07,28,0,0,28,1,3.57,40,3,2.55,84.1,71.5,0,0,1.43,40,1.43,40,-1.12,-31.5,
Feb'22,Regular,2/1/22,Partner_06,Offer_08,7,0,0,7,2,28.57,31.5,3.57,3.04,25,21.25,0,0,9,63,9,63,5.96,41.75,
Feb'22,Regular,2/1/22,Partner_06,Offer_09,29,0,0,29,3,10.34,25,3.76,3.2,109.04,92.69,0,0,2.59,75,2.59,75,-0.61,-17.69,
Feb'22,Coreg,2/1/22,Partner_07,Offer_01,47,0,0,47,0,0,0,1,0.7,47,32.9,0,0,0,0,0,0,-0.7,-32.9,
Feb'22,Coreg,2/1/22,Partner_07,Offer_02,1,0,0,1,0,0,0,1,0.7,1,0.7,0,0,0,0,0,0,-0.7,-0.7,
Feb'22,Coreg,2/1/22,Partner_07,Offer_03,89,0,0,89,6,6.74,28.33,1,0.7,89,62.3,0,0,1.91,170,1.91,170,1.21,107.7,
Feb'22,Coreg,2/1/22,Partner_07,Offer_12,1,0,0,1,0,0,0,0.51,0.51,0.51,0.51,0,0,0,0,0,0,-0.51,-0.51,
Feb'22,Coreg,2/1/22,Partner_07,Offer_05,90,0,0,90,9,10,17,1,0.7,90,63,0,0,1.7,153,1.7,153,1,90,
Feb'22,Coreg,2/1/22,Partner_07,Offer_14,197,0,0,197,11,5.58,21,1,0.7,197,137.9,0,0,1.17,231,1.17,231,0.47,93.1,
Feb'22,Regular,2/1/22,Partner_07,Offer_06,10,0,0,10,2,20,21,2.8,1.96,28,19.6,0,0,4.2,42,4.2,42,2.24,22.4,
Feb'22,Coreg,2/1/22,Partner_07,Offer_07,143,0,0,143,14,9.79,38.57,1,0.7,143,100.1,0,0,3.78,540,3.78,540,3.08,439.9,
Feb'22,Coreg,2/1/22,Partner_07,Offer_09,136,0,0,136,5,3.68,50,0.99,0.7,135.02,94.52,0,0,1.84,250,1.84,250,1.14,155.48,
Feb'22,Regular,2/1/22,Partner_37,Offer_01,5,1,20,4,1,25,22,4.4,4.4,22.02,22.02,7.48,37.4,4.4,22,11.88,59.4,7.48,37.38,
Feb'22,Regular,2/1/22,Partner_37,Offer_07,15,0,0,15,4,26.67,15.75,4,4,60,60,0,0,4.2,63,4.2,63,0.2,3,
Feb'22,Regular,2/1/22,Partner_37,Offer_08,10,0,0,10,2,20,5,4,4,40,40,0,0,1,10,1,10,-3,-30,
Feb'22,Coreg,2/1/22,Partner_37,Offer_30,1,0,0,1,1,100,5,0.02,0.02,0.02,0.02,0,0,5,5,5,5,4.98,4.98,
Feb'22,Regular,2/1/22,Partner_37,Offer_09,248,7,2.82,241,46,19.09,49.91,3.18,3.18,789.29,789.29,0.4,98,9.26,"2,296.00",9.65,"2,394.00",6.47,"1,604.71",
Feb'22,Regular,2/1/22,Partner_08,Offer_01,1,0,0,1,0,0,0,4,2.8,4,2.8,0,0,0,0,0,0,-2.8,-2.8,
Feb'22,Regular,2/1/22,Partner_08,Offer_03,20,0,0,20,6,30,6.33,5.9,4.13,118,82.6,0,0,1.9,38,1.9,38,-2.23,-44.6,
Feb'22,Regular,2/1/22,Partner_08,Offer_29,1,1,100,0,0,0,0,6,4.2,6,4.2,5,5,0,0,5,5,0.8,0.8,
Feb'22,Regular,2/1/22,Partner_08,Offer_14,1,0,0,1,0,0,0,5,3.5,5,3.5,0,0,0,0,0,0,-3.5,-3.5,
Feb'22,Regular,2/1/22,Partner_08,Offer_16,8,0,0,8,1,12.5,16,4.5,3.15,36,25.2,0,0,2,16,2,16,-1.15,-9.2,
Feb'22,Regular,2/1/22,Partner_08,Offer_06,84,0,0,84,27,32.14,21.85,4,2.8,336,235.2,0,0,7.02,590,7.02,590,4.22,354.8,
Feb'22,Regular,2/1/22,Partner_09,Offer_01,25,0,0,25,2,8,15,3.32,2.32,83,58.1,0,0,1.2,30,1.2,30,-1.12,-28.1,
Feb'22,Regular,2/1/22,Partner_09,Offer_02,8,0,0,8,1,12.5,25,2.01,1.41,16.08,11.28,0,0,3.12,25,3.12,25,1.72,13.72,
Feb'22,Regular,2/1/22,Partner_09,Offer_03,80,0,0,80,21,26.25,17.76,3,2.1,240,168,0,0,4.66,373,4.66,373,2.56,205,
Feb'22,Regular,2/1/22,Partner_09,Offer_04,2,0,0,2,0,0,0,2.01,1.41,4.02,2.82,0,0,0,0,0,0,-1.41,-2.82,
Feb'22,Regular,2/1/22,Partner_09,Offer_14,5,0,0,5,0,0,0,3,2.1,15,10.5,0,0,0,0,0,0,-2.1,-10.5,
Feb'22,Regular,2/1/22,Partner_09,Offer_15,2,0,0,2,1,50,22,3,2.1,6,4.2,0,0,11,22,11,22,8.9,17.8,
Feb'22,Regular,2/1/22,Partner_09,Offer_16,13,0,0,13,2,15.38,16,3,2.1,39,27.3,0,0,2.46,32,2.46,32,0.36,4.7,
Feb'22,Regular,2/1/22,Partner_09,Offer_06,23,0,0,23,7,30.43,21.57,2.3,1.61,53,37.1,0,0,6.57,151,6.57,151,4.95,113.9,
Feb'22,Regular,2/1/22,Partner_09,Offer_07,56,0,0,56,4,7.14,46.75,2.1,1.47,117.5,82.4,0,0,3.34,187,3.34,187,1.87,104.6,
Feb'22,Regular,2/1/22,Partner_09,Offer_08,2,0,0,2,0,0,0,2.5,1.76,5.01,3.51,0,0,0,0,0,0,-1.76,-3.51,
Feb'22,Regular,2/1/22,Partner_09,Offer_22,30,0,0,30,4,13.33,37.5,3.14,2.2,94.18,65.98,0,0,5,150,5,150,2.8,84.02,
